Ranks,State,Percentage,Numbers
1,Florida,17.49,2985000
2,Georgia,17.55,1397000
3,Maryland,17.8,822000
4,Hawaii,17.86,189000
5,Texas,17.96,3825000
6,New Jersey,18.27,1251000
7,Connecticut,18.77,524000
8,New York,18.83,2855000
9,Pennsylvania,19.68,1963000
10,North Carolina,19.8,1592000
11,Tennessee,20.46,1073000
12,California,20.49,6169000
13,Virginia,20.51,1331000
14,Delaware,20.52,156000
15,Illinois,20.72,2000000
16,North Dakota,20.79,118000
17,Iowa,21.0,503000
18,Mississippi,21.06,465000
19,New Mexico,21.16,337000
20,Louisiana,21.18,733000
21,Alabama,21.24,797000
22,South Dakota,21.25,139000
23,Missouri,21.32,996000
24,Nevada,21.38,508000
25,Massachusetts,21.39,1172000
26,Maine,21.61,234000
27,South Carolina,21.69,862000
28,Indiana,21.83,1109000
29,Wisconsin,21.83,982000
30,Kentucky,21.91,742000
31,Alaska,22.2,117000
32,Michigan,22.33,1729000
33,Arkansas,22.61,514000
34,District of Columbia,22.95,131000
35,Colorado,23.16,1028000
36,Minnesota,23.23,997000
37,Nebraska,23.41,335000
38,Montana,23.43,195000
39,Wyoming,23.63,103000
40,Vermont,23.71,120000
41,New Hampshire,23.74,260000
42,Arizona,23.89,1339000
43,Rhode Island,24.12,202000
44,Ohio,24.32,2177000
45,Idaho,24.92,333000
46,Washington,25.51,1500000
47,Oklahoma,25.59,752000
48,Kansas,26.02,560000
49,West Virginia,26.05,366000
50,Oregon,27.33,909000
51,Utah,29.68,675000
52,National,20.78,52173000
